title,abstract,year,pmid,source,paperId
Metformin with neoadjuvant chemotherapy in localized triple-negative and Her2neu-positive breast cancer: A prospective phase 2 open-label randomized controlled trial (McBETH).,"PURPOSE: HER2-positive and triple-negative breast cancers (TNBC) are aggressive subtypes with poor outcomes. Metformin, a commonly used antidiabetic agent, has demonstrated anticancer potential in preclinical studies. This trial evaluated whether the addition of metformin to neoadjuvant chemotherapy (NACT) improves pathological complete response (pCR) rates in nondiabetic patients with localized HER2-positive or TNBC. PATIENTS AND METHODS: In this open-label, phase 2 randomized controlled trial, 242 chemotherapy-naive, nondiabetic women aged 18-65 years with localized, resectable HER2-positive or TNBC were randomized 1:1 to receive standard NACT with or without metformin (850 mg orally twice daily until surgery). The primary endpoint was pCR (ypT0/ypN0). Secondary endpoints included subgroup pCR rates, clinical response, breast-conserving surgery rates, adverse events, patient-reported outcomes (ESAS-r), and cognitive function (FACT-Cog v3). RESULTS: A total of 112 patients in the metformin arm and 115 in the standard arm underwent surgery and were included in the efficacy analysis. The metformin group had a higher proportion of advanced T3/T4 tumors (55.4% vs. 42.3%). Overall pCR rates were 43.7% in the metformin group and 41.7% in the control group (p = .75). In the HER2-positive subgroup, pCR was higher with metformin (46.3% vs. 36.5%, p = .27). Breast-conserving surgery rates, clinical response, and patient-reported outcomes were similar between groups. Metformin was well tolerated; fewer patients experienced peripheral neuropathy (37.2% vs. 45.5%), but diarrhea was more frequent (26.6% vs. 10.7%). CONCLUSION: Metformin did not significantly improve pCR when added to standard NACT. However, trends in HER2-positive patients and reduced neuropathy merit further investigation.",2025 Dec 15,41348549.0,PubMed,
Metformin enhances alpelisib sensitivity in HER2+ breast cancer by suppressing cancer stemness and oncogenic signaling.,"INTRODUCTION: Alpelisib, a selective PI3Kalpha inhibitor that targets PIK3CA mutations, is approved for hormone receptor-positive, HER2-negative breast cancer. However, its therapeutic potential in HER2-positive disease remains underexplored. Hyperglycemia, a frequent adverse event of alpelisib, limits its clinical application. Metformin, an antidiabetic drug with reported anticancer activity, may counteract alpelisib-induced hyperglycemia while enhancing its antitumor efficacy. METHODS: We evaluated the effects of alpelisib alone and in combination with metformin in HER2-overexpressing breast cancer cell lines SK-BR-3 and BT-474. Cell viability, colony formation, and tumorsphere assays were performed to assess proliferation and stemness. Flow cytometry was used to analyze ALDH1-positive cell populations and cell-cycle distribution. Synergy was determined using the combination index method. Western blotting examined the effects on signaling pathways and stemness-associated proteins. RESULTS: Alpelisib monotherapy inhibited proliferation, colony formation, and cancer stem cell features in both cell lines. Metformin enhanced these effects, demonstrating strong synergism. Combination treatment induced significant G0/G1 cell-cycle arrest, reduced ALDH1(+) populations, and decreased tumorsphere formation. Mechanistically, co-treatment broadly suppressed receptor tyrosine kinase-mediated signaling, augmenting inhibition of PI3K/Akt/mTOR, MAPK/ERK, and JAK/STAT pathways, along with downregulation of c-Myc. Stemness-related proteins including beta-catenin, Nanog, Sox2, KLF4, and LGR5 were also markedly reduced. DISCUSSION: These findings indicate that metformin synergistically enhances the antitumor activity of alpelisib in HER2-positive breast cancer by inhibiting oncogenic signaling and stemness pathways. Beyond its metabolic benefit in mitigating hyperglycemia, metformin may potentiate PI3K-targeted therapies, supporting further preclinical and clinical evaluation of this combination strategy.",2025,41347072.0,PubMed,
Niosomal co-delivery of metformin and telaglenastat: A targeted nanotherapeutic strategy for breast cancer treatment and metastasis suppression in 2D and 3D models.,"Overexpression of glucose transporter-1 (GLUT-1) and glutaminase-1 (GLS-1) underlies the metabolic dependence of breast cancer cells on glucose and glutamine. Exploiting this vulnerability, a dual-drug niosomal delivery system was developed for the encapsulation of metformin (MET) and telaglenastat (TEL) to concurrently modulate these metabolic pathways. The optimized formulation, prepared at a cholesterol:Span 60 ratio of 1:1, exhibited nanosized vesicles (79.7-494.6 nm) with low polydispersity (PDI < 0.3), confirming a uniform and suitable size distribution for efficient cellular uptake. The encapsulation efficiency (EE%) was high for both agents, notably 84.34 % for TEL and 67.93 % for MET. Flow-cytometric profiling revealed elevated GLUT-1 and GLS-1 expression relative to unstained controls, validating the rationale for dual-pathway targeting. Functionally, the niosomal formulations outperformed free and single-drug treatments across both two- and three-dimensional models. In 3D spheroids, free TEL (200 microM) and free MET (200 mM) resulted in cell viabilities of 44.97 % and 54.00 %, respectively, whereas TEL-NP and MET-NP reduced viability to 9.49 % and 22.14 %, representing 4.7-and 2.4-fold enhancements in cytotoxic efficacy. The dual formulation promoted extensive spheroid disintegration and maintained intratumoral penetration for up to 72 h. In wound-healing assays, significant inhibition of migration was observed, with residual wound areas of 97.07 % (MET-NP), 87.43 % (TEL-NP), and 93.49 % (combined MET-NP + TEL-NP). Metabolic analyses further substantiated the mechanistic effect of dual inhibition. Glutamine-glutamate quantification demonstrated a marked shift from the untreated profile (glutamate 87.77 % / glutamine 12.23-59.89 % / 40.11 %) following combined nanoparticle treatment, consistent with suppression of GLS-1-mediated glutaminolysis. Correspondingly, ROS-Glo H(2)O(2) assays revealed decreased intracellular hydrogen peroxide in all treated groups, with the most pronounced reduction observed in the dual-NP combination, indicating attenuation of oxidative stress and restoration of redox balance. In conclusion, coordinated inhibition of GLUT-1- and GLS-1-driven metabolism via MET/TEL-loaded niosomes achieves enhanced cytotoxicity, durable spheroid penetration, and strong anti-migratory and metabolic modulatory effects. This stable co-delivery platform represents a promising nanotherapeutic strategy to overcome metabolic adaptability and treatment resistance in breast cancer.",2025 Dec,41344098.0,PubMed,
Metformin Impairs Breast Cancer Growth through the Inhibition of PRMT6.,"Metformin is the world's widely prescribed oral medication for the treatment of type 2 diabetes mellitus, which is also shown to repress tumorigenesis without a complete understanding of its therapeutic targets. Here, it is shown that metformin impairs the growth of breast cancer cells by inhibiting PRMT6, a protein arginine methyltransferase primarily responsible for asymmetric dimethylation of histone H3 arginine 2 (H3R2me2a). Mechanistically, metformin directly binds PRMT6 and inhibits its activity to methylate H3R2, leading to PRMT6 transcriptional repression and further reduces H3R2me2a. By decreasing PRMT6-catalyzed H3R2me2a, metformin enhances the chromatin association of UHRF1, an accessory factor of DNMT1 to promote DNA methylation and repress the transcription of DNA replication-associated genes, resulting in retarded DNA replication and cell cycle arrest. Metformin and a DNA replication inhibitor synergistically inhibit tumor growth. Furthermore, genetic disruption of the interaction between metformin and PRMT6 attenuates the inhibitory effect of metformin on breast cancer growth. Together, this work identifies a previously unrecognized mechanism for metformin to inhibit breast cancer growth.",2026 Feb,41327885.0,PubMed,
Autophagy stimulation influenced the angiogenesis and metastasis behavior of human triple-negative breast cancer cells.,"INTRODUCTION: Breast cancer (BC) is a devastating condition with high morbidity and mortality rates in females. Autophagy is an early-stage cell response against stressful conditions. Emerging data have revealed the autophagy-angiogenesis interaction in terms of tumor development and metastasis. METHODS: Here, the angiogenesis behavior of human MDA-MB-231 cells was monitored after modulation of autophagy response in the presence of free 3-methyladenine (3-MA), metformin (Met), or drug-loaded exosomes (3-MA@Exos and Met@Exos). Orthotopic transplantation was done using human BC cell-laden alginate/gelatin (Alg/Gel) microspheres in mice after treatment with Met and/or 3-MA. RESULTS: Met, and/or Met@Exos increased the cell migration rate and promoted human endothelial cell migration compared to the control cells (P<0.05). However, these features were blunted in 3-MA and 3-MA@Exos groups (P<0.05). Flow cytometry analysis revealed that the drug loading into Exos did not influence internalization capacity or cell survival (P>0.05). ELISA revealed that vascular endothelial growth factor (VEGF) levels were reduced in Met and 3-MA-treated cells, with more pronounced reductions in the free 3-MA groups. Real-time PCR analysis showed diminished expression of several angiogenesis-related genes, except for platelet endothelial cell adhesion molecule-1 (PECAM-1) in the Met@Exos, 3-MA, and 3-MA@Exos groups. Met treatment increased the metastasis and tumor formation in mice mammary glands after orthotopic transplantation of BC tumoroids. CONCLUSION: These data indicate that autophagy modulation can alter the angiogenesis and metastatic behavior of human BC cells in vitro and in vivo. Exos are valid bio-shuttles for the delivery of autophagy modulators in CSC-targeted therapies.",2025,41322395.0,PubMed,
NIR/US-responsive injectable hyaluronic acid-based nickel sulfide hydrogel as a smart platform for synergistic antitumor therapy.,"Breast cancer is one of the most prevalent malignant tumors worldwide and a leading cause of cancer-related mortality, underscoring the urgent need for innovative therapeutic strategies. In this study, we developed an injectable hydrogel-based system, in which polyvinylpyrrolidone (PVP)-modified NiS(2-x)@PVP nanospheres were incorporated with metformin hydrochloride (MH) and dispersed in a hyaluronic acid (HA) hydrogel matrix to form the NiS(2-x)@PVP@HA tumor treatment platform. This system exhibits excellent photothermal performance under near-infrared (NIR) light irradiation and can be employed for tumor photothermal therapy (PTT). The Ni(2+) released from the degradation of NiS(2-x)@PVP nanospheres can catalyze the decomposition of endogenous hydrogen peroxide in tumor cells, thereby generating toxic hydroxyl radicals for chemodynamic therapy (CDT). By altering the HA concentration, the internal pore structure, mechanical properties, drug release behavior, and swelling capacity of the hydrogel can be modulated. The loaded antitumor drug MH further enhances the therapeutic efficacy. Under NIR and ultrasound stimulation, this platform enables controlled drug release. In vitro and in vivo experiments have demonstrated that the NiS(2-x)@PVP@HA hydrogel achieves the synergistic treatment of PTT/CDT/chemotherapy for tumor tissues. Kyoto Encyclopedia of Genes and Genomes pathway analysis suggested that activation of the MAPK signaling pathway was a key mechanism underlying tumor cell death. This work presents a rational design strategy that addresses the related challenges in breast cancer and promotes precise cancer therapy.",2026 Jan,41308779.0,PubMed,
Additive Anticancer and Antioxidant Effects of Metformin and Luteolin in Breast and Colorectal Cancer Cell Lines.,"Background/Objectives: Metformin (Met) is a potent antidiabetic drug that also exhibits anticancer, antioxidant, and organ-protective properties. Luteolin (Lut), a naturally occurring flavonoid found in many plant species, possesses anticancer, antioxidant, and anti-inflammatory effects. Since both compounds affect cellular metabolism and oxidative balance, the analysis of metabolites produced in living cells provides insight into biochemical alterations occurring in cancer cells and enables monitoring of treatment response. Methods: In this study, Met (1-20 mM) and Lut (1-100 microM) were tested in vitro, both individually and in combination, to evaluate their effects on cell viability, free radical levels, and metabolite profile alterations in cancer and normal cell lines (MDA-MB-231, SW620, and V79). Cell viability was assessed using the MTT assay at two time points (24 h and 48 h), while reactive oxygen species (ROS) levels were measured after hydrogen peroxide stimulation (100 microM H(2)O(2)) using the DCF-DA assay. Metabolomic changes induced by Met and Lut were analyzed by (1)H NMR spectroscopy. Results: The analysis showed that Lut reduced the viability of MDA-MB-231 cells at both time points, whereas Met decreased viability only after prolonged incubation. Met did not inhibit the proliferation of SW620 colorectal cancer cells, while Lut reduced viability at higher concentrations (100 microM after 24 h, and 50-100 microM after 48 h). Conclusions: The combination of metformin and luteolin demonstrated additive effects in reducing cell viability and oxidative stress compared with single-compound treatments. Normal V79 fibroblasts responded to both Met and Lut, individually and in combination. Both compounds exhibited moderate antioxidant properties in cells exposed to 100 microM H(2)O(2). Lut (25 microM) reduced free radical levels in MDA-MB-231 cells, whereas Met (2.5 mM) did so in SW620 cells. The combination of both compounds increased ROS levels in SW620 cells subjected to oxidative stress. Overall, co-treatment with metformin and luteolin altered metabolic pathways and induced changes in intra- and extracellular metabolite levels across all tested cell lines. The observed additive effects suggest that the combined use of metformin and luteolin may enhance anticancer and antioxidant responses, warranting further in vivo studies to confirm these interactions.",2025 Nov 1,41304905.0,PubMed,
Association Between the Use of DPP4 Inhibitors and Metformin and the Risk of Cancer in Patients with Type 2 Diabetes: A Multicenter Retrospective Cohort Study Using the OMOP CDM Database.,"BACKGROUND/OBJECTIVES: Type 2 diabetes mellitus (T2DM) has been linked to an increased risk of several cancers. However, the influence of metformin and dipeptidyl peptidase-4 inhibitors (DPP4is) on the risk of cancers remains unclear. We investigated the association between using DPP4is and/or metformin and cancer risk compared with other glucose-lowering drugs (GLDs). METHODS: This retrospective multicenter cohort study was performed using 11 hospital databases standardized to the OMOP Common Data Model (CDM) within the Observational Health Data Sciences and Informatics (OHDSI) network. T2DM patients using only DPP4is and/or metformin (DPP4is/Met group) were compared with those using other GLDs (other GLD group). From 413,344 eligible patients, propensity score (PS) 1:1 matching yielded 6674 patients in each group. Cox proportional hazards models were used to analyze cancer risk, and a random-effects meta-analysis was performed to calculate hazard ratios (HRs). RESULTS: The DPP4is/Met group exhibited a significantly lower risk of incident cancer than the other GLD group (HR, 0.54; 95% CI, 0.41-0.69). This association was consistent across all hospitals. Regarding cancer-specific distributions, the DPP4is/Met group showed lower proportions of breast and prostate cancers, whereas the other GLD group showed higher proportions of lower gastrointestinal cancers. CONCLUSIONS: In this large multicenter study, using DPP4is and metformin showed a substantial association with a lower risk of cancer in T2DM patients relative to other GLDs. These findings suggest a potential protective effect of metformin and support the neutral-to-beneficial effect on cancer of DPP4is.",2025 Nov 10,41300987.0,PubMed,
Impact of sodium glucose cotransporter 2 inhibitors on bladder cancer and breast cancer: a pharmacovigilance analysis and Mendelian randomization study.,"BACKGROUND: There is conflicting real-world evidence regarding the risk of breast and bladder cancer associated with sodium glucose cotransporter 2 (SGLT2) inhibitors. We conducted a pharmacovigilance study on SGLT2 inhibitors and breast and bladder cancer using the US FDA Adverse Event Reporting System (FAERS) and a Mendelian randomization (MR) study. RESEARCH DESIGN AND METHODS: We used AERSMine to mine adverse events from FAERS. We provided proportional reporting ratio (PRR) with 95% confidence interval (CI), and the lower limit of the 95% credible interval of the information component (IC(025)). A two-sample MR approach was used to investigate the causal relationship between SGLT2 inhibition and breast and bladder cancer. RESULTS: We did not find a disproportionate association between SGLT2 inhibitors (PRR = 1.26; 95%CI 1.05-1.51; p = 0.014; IC(025) = 0.01) and their molecules with breast cancer. SGLT2 inhibitors were associated with a disproportionately higher reporting frequency of bladder cancer events compared to metformin, dipeptidyl peptidase 4 inhibitors, or glucagon-like peptide-1 receptor agonists. MR analysis results showed that SGLT2 inhibition was associated with a higher risk of bladder cancer (odds ratio 1.01; 95%CI 1.00-1.01; p = 0.004). CONCLUSION: Our results suggest that the use of SGLT2 inhibitors is associated with a higher reporting frequency/risk of bladder cancer, rather than breast cancer.",2025 Nov 27,41283794.0,PubMed,
"Investigations of potential therapeutic targets from high-throughput, label-free, quantitative proteomic studies in MDA-MB-468 cells treated with metformin and electrical pulses.","High-throughput, label-free quantitative proteomic analyses, along with cell viability and reactive oxygen species (ROS) studies, were performed on MDA-MB-468 human triple-negative breast cancer (TNBC) cells, to gain mechanistic insights into therapeutic actions. TNBC was chosen as it is the most lethal subtype of breast cancer, highly aggressive, prone to recurrence and metastasis, with the highest prevalence in black women. The absence of specific biomarkers limits targeted therapies. This unmet need was studied using proteomics, after treating the cells with electrical pulses (EP) combined with metformin (met). With the EP + met treatment (1000 V/cm, 1 mM), cell viability dropped to 25.6 % after 24 h and ROS increased to 179 %, compared to control at 100 %. Proteomics revealed 125 upregulated and 37 downregulated proteins in EP + met, compared to met alone, involving enzymes, proliferation markers, and kinases. Key gene changes included upregulation of ALAD, MKI67, and LRCH4, and downregulation of EIF1AX, NSUN5, and GNS. LRCH4 and GNS are suggested to be potential novel therapeutic targets, as LRCH4 upregulation links to inhibition of the mTOR/PI3K/Akt pathway, reducing proliferation, while GNS downregulation suppresses tumor growth and metastasis. Overall, proteomics-based preliminary findings suggest that EP + met modulate TNBC pathways, identifying potential biomarkers and providing a foundation for future validation.",2026 Mar,41232409.0,PubMed,
"LEP and FOXO1 genes, as a proposed tumor suppressor autophagic cell death related genes, can be targeted by antidiabetic therapy in nondiabetic breast cancer patients.","INTRODUCTION: Breast cancer can be treated effectively with personalized, gene-targeted therapies due to its molecular and genetic differences. Our study aims to identify breast cancer-specific tumor suppressor genes related to autophagic cell death and discover new drugs that target these mechanisms, even if they are not breast cancer-specific. MATERIALS AND METHODS: Gene intensity values ​​of 457 tumor and 19 healthy breast tissues were used to determine downregulated and upregulated genes related to autophagy and apoptosis using Bioconductor R program via LIMMA package. Then, genes affecting survival were identified by survival analysis via Kaplan-Meier Plotter tool. Furthermore, the signalling pathways associated with these genes and targeting candidate drug components were determined by gene enrichment analysis using ""KEGG pathway option"" and Drug MATADOR in ""ShinyGo 0.82"" web-tool, respectively. RESULTS: Breast cancer tumor tissues showed downregulation of genes related to autophagy and apoptosis (c19orf12, CRYAB, LEP, SRPX, SNCA, FOXO1) and upregulation of others (SLC7A5, ATP2A2, INHBA, ATP5IF1). Among these, SLC7A5, c19orf12, LEP, SPRX, SNCA, and FOXO1 affected patient survival and prognosis. The AMPK signaling pathway, targeting FOXO1 and LEP, was identified as key. Only the LEP gene was targeted by Metformin, Pioglitazone, Rosiglitazone, and Troglitazone. CONCLUSION: In our study, survival associated LEP and FOXO1 genes were identified as candidate tumor suppressor genes associated with autophagic cell death in non-obese and non-diabetic breast cancer patients. Anti-diabetic drugs such as Metformin, Pioglitazone, Rosiglitazone, Troglitazone are proposed as candidate components in the treatment processes by targeting the LEP gene in nondiabetic breast cancer patients.",2025 Nov 10,41212318.0,PubMed,
Metformin alleviates ribociclib-induced lung injury by restoring impaired autophagy via targeting Mucolipin-1.,"Ribociclib, a cornerstone CDK4/6 inhibitor for advanced breast cancer, carries a risk of serious pulmonary toxicity, including rare but fatal interstitial lung disease. This study demonstrates that ribociclib directly induces alveolar epithelial cell apoptosis, driving lung injury in mice and human alveolar epithelial cells. Mechanistically, we identify an off-target activation of Mucolipin-1 (MCOLN1) as the critical event, which arrests autophagic flux by blocking autophagosome-lysosome fusion. Moreover, this autophagic impairment precedes and precipitates apoptosis independently of CDK4/6 inhibition. Crucially, we reveal the antidiabetic drug metformin as a potent therapeutic intervention. Metformin rescues ribociclib-induced toxicity both in vitro and in vivo by restoring autophagic flux through suppressing Mucolipin-1 expression to overcome the autophagosome-lysosome fusion blockade. This significantly attenuates epithelial apoptosis, inflammatory infiltration, and pathological damage in the lungs. Our work provides the first demonstration of Mucolipin-1-mediated autophagic arrest as the core mechanism underlying ribociclib's pulmonary toxicity and establishes metformin as a clinically actionable strategy for mitigation, highlighting autophagic flux restoration as a new paradigm for countering kinase inhibitor-related organ toxicities.",2026 Jan,41207516.0,PubMed,
The effect of metformin in clinical studies on knee osteoarthritis: an updated systematic review and meta-analysis.,"OBJECTIVES: Metformin is regarded as a potential drug for the treatment of knee osteoarthritis (KOA), but its efficacy remains unclear. This systematic review and meta-analysis aims to evaluate the efficacy of metformin in the treatment of KOA. METHODS: According to Preferred Reporting Items for Systematic Reviews and Meta-Analyses (PRISMA) guidelines, we searched three literature databases, including PubMed, Web of Science and EMBASE, and conducted a systematic review and meta-analysis of randomized controlled trials and cohort studies up to April 1, 2025, studies evaluating the use of metformin in the treatment of KOA were included. Hazard ratio (RR), standard mean difference (SMD), and the corresponding 95% confidence interval (CI) were used as aggregated statistics. This systematic review is registered on RROSPERO (CRD420251026750). RESULTS: A total of six eligible studies included 4,628 patients (1,489 patients use metformin versus 3,139 patients non-use). The main observation outcome was the score of the pain scale (WOMAC, KOOS, VAS, etc.) of the knee joint and the incidence of total knee arthroplasty (TKA) is a secondary outcome. Analysis of the included population the included population reveals that the BMI levels of all individuals were at the overweight range. In this situation, the comprehensive results show that regardless of different conventional treatment methods, courses of treatment and doses, combined metformin treatment in the incidence of joint replacement [RR = 0.65, 95% CI (0.54, 0.77), p < 0.00001] and knee pain scores [SMD = -0.47, 95% CI (-0.84, -0.11), p = 0.01], it was superior to the control group treatment. CONCLUSION: The research results show that metformin can relieve the pain of KOA with high BMI and reduce the possibility of joint replacement. However, due to the less of randomized controlled trials (RCTS), clinicians should be fully cautious when using it. SYSTEMATIC REVIEW REGISTRATION: https://www.crd.york.ac.uk/PROSPERO/view/CRD420251026750.",2025,41179879.0,PubMed,
"Time-Restricted Eating and Metformin in Invasive Breast Cancer or DCIS: A Randomized, Phase IIb, Presurgical Trial. Preliminary Safety Analysis.","Cancer cells exhibit metabolic flexibility between anaerobic glycolysis and oxidative phosphorylation. Preclinical data showed that metformin, an oxidative phosphorylation inhibitor, combined with fasting-induced hypoglycemia led to activation of the PP2A-GSK3ss-Mcl1 axis and inhibition of tumor growth. A window-of-opportunity trial was designed to evaluate the effect of metformin and nightly fasting on proliferation in invasive breast cancer or ductal carcinoma in situ (DCIS). The primary endpoint is the pretreatment/posttreatment change of Ki67 in cancer tissue, and the co-primary endpoint is the difference in posttreatment Ki67 in cancer-adjacent DCIS or high-risk lesions. Participants with hormone receptor-positive invasive breast cancer or DCIS candidates to surgery are being accrued and randomized to either (i) fasting for >/=16 hours nightly, plus nutritional counseling and daily metformin with continuous glucose monitoring, or (ii) continuous glucose monitoring. The intervention lasts 4 to 6 weeks with gradual metformin ramp up to limit gastrointestinal disturbances. The safety of the combination was evaluated as a primary interim endpoint. The frequency of dose-limiting toxicity (>/=G3 adverse events related to treatment) was assessed in the first 14 participants in the experimental arm. Most adverse events were of low grade (G1: 50; 90.9%) and unrelated to the treatment (G1: 26 unrelated; 52%). No one discontinued treatment because of toxicity, and no dose-limiting toxicities were observed, so the escalation phase of metformin was significantly shortened from 7 to 3 days. The results of this project will expand knowledge of this prevention approach and possibly provide the basis for large-scale primary prevention studies in at-risk women. PREVENTION RELEVANCE: In a context of rising cancer drug costs, this research explores a low-cost treatment to optimize breast cancer preventive intervention. The approach is safe and based on repurposed drugs that could enhance prevention strategies for obesity- and insulin-related cancers, offering immediate applicability to a large-scale trial in women at risk.",2026 Jan 6,41165048.0,PubMed,
An Overview on the Mechanism of Metformin in the Reduction of Breast Cancer.,"The incidence of diabetes is markedly increasing worldwide. In addition to cardiovascular complications, many epidemiological studies have demonstrated that diabetic patients have a markedly increased risk of developing many types of cancer and several meta-analyses have found that metformin, the most commonly prescribed medication for type 2 diabetes, is associated with a lower risk of developing several cancers. Therefore, the suggested mechanism of metformin in the reduction of breast cancer will be discussed in this review.",2025 Sep,41164619.0,PubMed,
Associations of Commonly Used Concomitant Medications With Survival and Adverse Event Outcomes in Breast Cancer.,"BACKGROUND: The impact of commonly used non-cancer medications on breast cancer outcomes remains underexplored in large datasets. AIMS: To evaluate the associations between commonly used non-cancer medications and survival as well as adverse events in patients with breast cancer. MATERIALS & METHODS: Individual participant data from 19 breast cancer clinical trials (n = 23,211) were pooled. Cox proportional hazards models and logistic regression analyses were used to assess associations between medication use and overall survival, progression-free survival and grade >/= 3 adverse events. Analyses were adjusted for demographic, cancer and comorbidity factors. RESULTS: Proton pump inhibitor use was associated with poorer overall survival (HR 1.19, 95% CI: 1.08-1.30), progression-free survival (HR 1.11, 95% CI: 1.02-1.21) and an increased risk of grade >/= 3 adverse events (OR 1.36, 95% CI: 1.21-1.53). Beta-blockers, ACE inhibitors/ARBs and calcium channel blockers were linked with higher adverse event rates but showed no significant impact on survival. Statins and metformin demonstrated no significant associations with either survival or adverse events. CONCLUSION: These findings emphasise the need for careful management of concomitant medications in breast cancer care and support ongoing research to optimise treatment safety and efficacy.",2025 Nov,41163361.0,PubMed,
Enhancing the Efficacy of Metformin in Neoadjuvant Therapy for Breast Cancer: A Meta-Analysis Based on Randomized Clinical Trials.,"IntroductionThis meta-analysis aims to evaluate the impact of increasing the use of metformin in neoadjuvant treatment for breast cancer (BC) on the rate of pathological complete response (pCR) in patients.MethodsA systematic search was conducted in four electronic databases: PubMed, Web of Science, Embase, and Cochrane Library. The search scope covered all the literature from the establishment of the databases to April 2025. The risk ratio (RR) and 95% confidence interval (CI) were calculated. The outcome indicator was the pCR rate.ResultThis meta-analysis included a total of 8 randomized controlled trials (RCTs), involving 474 patients. The results showed that there was no statistically significant difference in the pCR rate between the experimental group containing metformin and the control group (RR = 1.21, 95% CI: [0.85, 1.71], P = 0.28). Subgroup analysis revealed that there were no significant differences in the pCR rate between the two groups in patients with metabolic syndrome (RR = 2.09, 95% CI [0.55, 7.85], P = 0.28), patients without metabolic syndrome (RR = 1.12, 95% CI [0.81, 1.55], P = 0.49), patients from Eastern countries (RR = 1.15, 95% CI [0.63, 2.11], P = 0.65), and patients from Western countries (RR = 1.32, 95% CI [0.75, 2.32], P = 0.34).ConclusionThis study did not observe any effect of increasing the use of metformin on the pCR rate of patients in neoadjuvant treatment for BC.",2025 Jan-Dec,41161296.0,PubMed,
Combination of Simvastatin and Metformin Reduces Triple-Negative Breast Cancer Tumor Growth Through AKT/AMPK/ACC Signaling Axis.,"Chemotherapy continues to be the standard of care for metastatic malignancies, such as triple-negative breast cancer (TNBC). Although the treatment strategy increases survival rates marginally, it frequently leads to the development of resistant disease and side effects. It is imperative to develop an alternate chemotherapy formulation with better efficacy and lesser adverse effects in TNBC patients. Cell viability and cholesterol level were measured using spectrophotometer and fluorometric assays. The 4T1 syngeneic BALB/c female mice were used as an in vivo metastatic TNBC model. Simvastatin (Sim) and Metformin (Met) were administered in combination (3.5-7.0 and 175-350 mug/g body weight, respectively) and alone (Sim 7.0 mug/g/day, or Met 350 mug/g/day) orally over an 8-week period, and the standard Anticancer drug docetaxel (Doc) was administered at a dose of 24 mug/g body weight through IP injection every 3 weeks. Phosphorylation levels of protein and histopathology of tumors were studied by immunoblot and H & E staining methods, respectively. We report that the viability of TNBC cells is significantly and synergistically reduced by Sim and Met co-treatment, with negligible adverse effects on normal breast cell line. Sim Met combination down regulates phosphorylation at specific sites of AKT (Ser-473/Thr-308) and AMPKalpha (Ser-485/491) and up regulates ACC phosphorylation (Ser-79), which in turn minimizes the cellular cholesterol synthesis in the TNBC model. Further study demonstrated that the combination significantly reduced tumor formation effectively than docetaxel. Study confirmed that the combination of Sim and Met is a promising chemotherapeutic approach for metastatic TNBC.",2026 Jan,41118580.0,PubMed,
MDA-MB-231 breast cancer cells adapted to anchorage-independent growth reveal senescent-like phenotype and persistent downregulation of PD-L1 expression.,"INTRODUCTION: Metastasis remains the primary cause of mortality in breast cancer, particularly in aggressive triple-negative (TNBC) subtypes. A crucial yet understudied aspect of this process involves cancer cell survival in a detached state and subsequent reattachment at distant sites. While in vitro models can capture early detachment events like tumor budding, the subsequent reattachment phase is often overlooked. To address this, we developed a TNBC cell model that effectively mimics metastatic behavior following re-attachment at secondary locations. METHODS: We generated clones of MDA-MB-231 TNBC cells through consecutive selection for enhanced anchorage-independent survival. This was achieved using 2-deoxy-D-glucose (2DG) alone, 2DG combined with metformin, or Poly(2-hydroxyethyl methacrylate) (polyHEMA)-coated surfaces. The resulting adapted clones were characterized by RNA transcriptomics, comparing them to one-time treated non-selected cells. Real-time cellular energy metabolism was assessed via Seahorse analysis, while mitochondrial mass and intracellular localization were determined by flow cytometry and fluorescent microscopy, respectively. RESULTS: Transcriptomic analysis of the MDA-MB-231 clones adapted to anchorage-independent growth revealed distinct alterations in gene expression, confirmed by principal component analysis showing clear separation from control clusters. These adapted clones exhibited increased mesenchymal and stemness markers, downregulated cell cycle genes, and a senescent-like phenotype. Interestingly, while nuclear-encoded oxidative phosphorylation (OxPhos) genes were downregulated, mitochondrial-encoded OxPhos genes were upregulated, with no significant shift in overall ATP production as measured by Seahorse analysis. Paradoxically, despite increased CD274 (PD-L1) transcription, surface PD-L1 expression was consistently reduced, likely due to endoplasmic reticulum (ER) stress and impaired N-glycosylation. DISCUSSION: Our adapted clones provide a novel in vitro model of early metastatic behavior, unveiling a cancer cell survival strategy that balances energy metabolism with adaptation to stress. These clones also demonstrated enhanced detachment properties and upregulation of proto-oncogenes, in addition to their senescent-like phenotype. Critically, the uncoupling of CD274 transcription from surface PD-L1 expression suggests a potential therapeutic vulnerability that could be exploited in TNBC.",2025,41103963.0,PubMed,
