title,abstract,year,pmid,source
Cancer of the organs of the reproductive system in women with type 2 diabetes. effects of antidiabetic therapy.,"OBJECTIVE: The aim: to investigate the prevalence of cancer of the reproductive system in women with type 2 diabetes, and to examine the impact of antidiabetic therapy on cancer risk of this localization. PATIENTS AND METHODS: Materials and methods: The study included a retrospective analysis of medical records of women with T2D with first diagnosed cancer during 2012-2016. The bases for the study were specialized medical institutions in Ivano-Frankivsk region. The obtained results were processed using statistical programs ""Microsoft Excel"" and ""Statistika-12"". RESULTS: Results: Breast, uterine, and ovarian cancer were detected in 202 postmenopausal women, 63.92% from the total number of cancer cases in women. An increased risk of breast [OR = 1.24; 95% CI (1.04 - 1.50) P = 0.019] and uterine cancer [OR = 1.32; 95% CI (1.02 - 1.69) P = 0.040] has been identified. Most often, before the detection of cancer, women received combination therapy with sulfonylurea and metformin (83 patients (57.64%)) with BMI 32.64 +/- 3.69 kg/m2. The difference between risk of cancer on metformin monotherapy and on sulfonylurea monotherapy [OR = 2.17; 95% CI (0.88 - 5.36) P = 0.141] or on combination therapy [OR = 1.68; 95% CI (0.76 - 3.74) P = 0.276] was not found. CONCLUSION: Conclusions: Postmenopausal women have an increased risk of breast and uterine cancer and are recommended to be screened for these diseases. The highest incidence of cancer in women with obesity on combination therapy requires the use of antidiabetic drugs that are able to correct BMI as a second-line therapy.",2020,32386378,PubMed
"Type 2 diabetes, breast cancer specific and overall mortality: Associations by metformin use and modification by race, body mass, and estrogen receptor status.","INTRODUCTION: While type 2 diabetes (T2D) has been associated with increased all-cause mortality among women diagnosed with breast cancer (BC), the association between T2D and breast cancer-specific (BCS) mortality is unresolved. The goal of this study was to examine the association between T2D and BCS mortality and examine the influence of metformin treatment on mortality rates. METHODS: A retrospective cohort study was conducted between 2002 and 2008 at Emory University Hospitals among non-Hispanic black and white women who had confirmed diagnosis of stage I-III BC and known diabetes status (T2D: n = 73; non-T2D: n = 514). Cox proportional hazard models were used to estimate hazard ratios (HR) and 95% confidence intervals (CI). RESULTS: Compared to non-T2D patients, T2D women had almost a 2-fold increase in BCS mortality after adjusting for covariates (HR = 2.01; 95%CI = 1.02-3.98). Though attenuated, the increased hazard of death was also observed for all-cause mortality (HR = 1.74; 95%CI = 1.06-2.87). T2D patients who were not on metformin had substantially higher hazard of BCS mortality compared to non-diabetic patients (HR = 4.54; 95%CI = 1.98-10.44), whereas the association among T2D patients treated with metformin was weak (HR = 1.20; 95%CI = 0.36-3.97) and included the null. CONCLUSIONS: Among women with BC, T2D is associated with increased BCS mortality. Metformin treatment for T2D during the initial diagnosis of BC may improve outcomes.",2020,32369516,PubMed
Application of trastuzumab emtansine in HER-2-positive and KRAS/BRAF-mutated colon cancer cells.,"BACKGROUND: Trastuzumab emtansine (T-DM1) is an antibody-drug conjugate (ADC) for the treatment of human epidermal growth factor receptor 2 (HER-2)-positive breast cancer. T-DM1 is based on the trastuzumab antibody and delivers a toxic agent into breast cancer cells through endocytic mechanism. This study evaluated whether T-DM1 can be used in HER-2-positive colon cancer cells which harbour KRAS/ BRAF mutation with limited treatment. MATERIALS AND METHODS: LS174T and HT-29 which are KRAS and BRAF mutant HER-2-positive colon cancer cells were used in this study. Cells were first treated with T-DM1; cetuximab and trastuzumab were applied for comparison, the effect of drug sensitivity was determined. Cells were then transfected with plasmid to overexpress HER-2 or the endocytic protein, caveolin-1 or furthermore pretreated with metformin to examine the effect of T-DM1 efficacy. Finally, a xenograft mouse model was used to evaluate the drug efficacy in vivo. RESULTS: The results showed that T-DM1 had better inhibitory effect than cetuximab and trastuzumab on LS174T and HT-29 cells. HER-2 or caveolin-1 overexpression with plasmid in the cells to increase T-DM1 recognition or internalization can increase the sensitivity to T-DM1. When cells were pretreated with metformin, caveolin-1 expression was induced and promoted T-DM1 uptake and enhanced cell toxicity. In xenograft mouse model, combined treatment of T-DM1 and metformin had apparent inhibitory effect on subcutaneous tumour growth. CONCLUSION: The results of this study suggested that T-DM1 has potential in the treatment of HER-2-positive colon cancer cells, and application of metformin has therapeutic benefits during T-DM1 treatment.",2020 Apr 29,32350854,PubMed
"Biocompatible Delivery System for Metformin: Characterization, Radiolabeling and In Vitro Studies.","BACKGROUND: In recent years, the uses of nanotechnology in medicine have an increasing potential as an effective nanocarrier system. These systems are improved with the purpose of maximizing therapeutic activity and minimizing undesirable side-effects. Moreover, radiolabeled nanoparticles can be used as agents for diagnosis and therapeutic purposes in clinical applications. They have three main components: the core, the targeting biomolecule, and the radionuclide. OBJECTIVE: It is aimed to synthesize Metformin (MET) loaded Solid Lipid Nanoparticles (MET-SLN) and radiolabeled with technetium-99m tricarbonyl core. METHODS: The structure of synthesized nanoparticles was characterized by Fourier Transform Infrared Spectroscopy (FTIR). The particle size and morphology of nanoparticles were examined by Dynamic Light Scattering (DLS), and Scanning Electron Microscope (SEM). Quality control studies of radiolabeled MET-SLN [99mTc(CO)3-MET-SLN] were performed by High-Performance Liquid Radiochromatography (HPLRC) and Thin Layer Radiochromatography (TLRC). RESULTS: The radiolabeling yield of [99mTc(CO)3-MET-SLN] was found to be 88%. In vitro studies have been performed on cancer lines(MCF7, MDA-MD-231 breast, and HEPG2 liver cancer cells) to determine the biological behavior of 99mTc(CO)3-MET-SLNs. CONCLUSION: The results showed that higher uptake values were observed on estrogen-positive MCF7 breast cancer cell line according to estrogen negative MDA-MB-231 breast cancer and HEPG2 liver cancer cell lines.",2020,32324524,PubMed
AMPK Activation by Metformin Promotes Survival of Dormant ER(+) Breast Cancer Cells.,"PURPOSE: Despite adjuvant endocrine therapy for patients with estrogen receptor alpha (ER)-positive breast cancer, dormant residual disease can persist for years and eventually cause tumor recurrence. We sought to deduce mechanisms underlying the persistence of dormant cancer cells to identify therapeutic strategies. EXPERIMENTAL DESIGN: Mimicking the aromatase inhibitor-induced depletion of estrogen levels used to treat patients, we developed preclinical models of dormancy in ER(+) breast cancer induced by estrogen withdrawal in mice. We analyzed tumor xenografts and cultured cancer cells for molecular and cellular responses to estrogen withdrawal and drug treatments. Publicly available clinical breast tumor gene expression datasets were analyzed for responses to neoadjuvant endocrine therapy. RESULTS: Dormant breast cancer cells exhibited upregulated 5' adenosine monophosphate-activated protein kinase (AMPK) levels and activity, and upregulated fatty acid oxidation. While the antidiabetes AMPK-activating drug metformin slowed the estrogen-driven growth of cells and tumors, metformin promoted the persistence of estrogen-deprived cells and tumors through increased mitochondrial respiration driven by fatty acid oxidation. Pharmacologic or genetic inhibition of AMPK or fatty acid oxidation promoted clearance of dormant residual disease, while dietary fat increased tumor cell survival. CONCLUSIONS: AMPK has context-dependent effects in cancer, cautioning against the widespread use of an AMPK activator across disease settings. The development of therapeutics targeting fat metabolism is warranted in ER(+) breast cancer.",2020 Jul 15,32321715,PubMed
The Elusive Link Between Cancer FDG Uptake and Glycolytic Flux Explains the Preserved Diagnostic Accuracy of PET/CT in Diabetes.,"This study aims to verify in experimental models of hyperglycemia induced by streptozotocin (STZ-DM) to what degree the high competition between unlabeled glucose and metformin (MET) treatment might affect the accuracy of cancer FDG imaging. The study included 36 ""control"" and 36 ""STZ-DM"" Balb/c mice, undergoing intraperitoneal injection of saline or streptozotocin, respectively. Two-weeks later, mice were subcutaneously implanted with breast (4 T1) or colon (CT26) cancer cells and subdivided in three subgroups for treatment with water or with MET at 10 or 750 mg/Kg/day. Two weeks after, mice were submitted to micro-PET imaging. Enzymatic pathways and response to oxidative stress were evaluated in harvested tumors. Finally, competition by glucose, 2-deoxyglucose (2DG) and the fluorescent analog 2-[N-(7-nitrobenz-2-oxa-1,3-diazol-4-yl)amino]-2-deoxyglucose (2-NBDG) on FDG uptake was studied in 4 T1 and CT26 cultured cells. STZ-DM slightly decreased cancer volume and FDG uptake rate (MRF). More importantly, it also abolished MET capability to decelerate lesion growth and MRF. This metabolic reprogramming closely agreed with the activity of hexose-6-phosphate dehydrogenase within the endoplasmic reticulum. Finally, co-incubation with 2DG virtually abolished FDG and 2-NBDG uptake within the endoplasmic reticulum in cultured cells. These data challenge the current dogma linking FDG uptake to glycolytic flux and introduce a new model to explain the relation between glucose analogue uptake and hexoses reticular metabolism. This selective fate of FDG contributes to the preserved sensitivity of PET imaging in oncology even in chronic moderate hyperglycemic conditions.",2020 May,32302773,PubMed
Tumor microenvironment-responsive polymer with chlorin e6 to interface hollow mesoporous silica nanoparticles-loaded oxygen supply factor for boosted photodynamic therapy.,"Cancer treatment has always been a big problem for people. With the application of photodynamic therapy, the problem has been alleviated. However, the problem of tumor hypoxia affecting photodynamic therapy has been waiting to be resolved. Therefore, we report here that a redox nanocarrier (called RN) is prepared by hollow mesoporous silica sphere (HMSNs) and a redox-responsive polymer ligand. The nanocarrier is loaded with metformin and catalase, and the polymer is linked to the photosensitizer chlorin e6 (Ce6). Metformin inhibits the mitochondrial respiration of cancer cells, reducing the activity of cancer cells and increasing the oxygen concentration required for photodynamic therapy. Not only the effect of photodynamic therapy is enhanced, but also the effect of chemotherapy is increased to achieve super additive treatment. These RNs exhibit not only low cytotoxicity but also high biocompatibility in vitro experiments. In vitro Ce6 release studies have shown a higher release in the presence of glutathione (GSH). Confocal microscopy can further indicate that the nanoparticles are carried to the area around the nucleus of the cancer cells. In addition, treatment with a mouse tumor model demonstrated that RN has an effective therapeutic effect on tumors.",2020 Jul 24,32299065,PubMed
"Impact of DPP4 Inhibitors in Survival of Patients With Prostate, Pancreas, and Breast Cancer.","Background: Dipeptidyl peptidase-4 (DPP4), a cell surface protein, exhibits a crucial role in tumor biology and regulation of the immune system. We aim to study the impact of DPP4 inhibitors (DPP4i) in patients with prostate cancer (PRC), pancreatic cancer (PC) and breast cancer (BC). Methods: Using the SEER and Medicare linked database, we identified patients with PRC or PC or BC with coexisting type II diabetes mellitus between 2007 and 2015. Patients were classified into four groups: (1) not on either DPP4i or metformin (reference group), this group included patient that were on anti-diabetic agents other than metformin or DPP4i (2) metformin only, (3) DPP4i only, and (4) DPP4i along with metformin (combination group). Overall survival (OS) analyses were performed using SAS(R), version 9.4. Results: We identified 15,330 patients with PRC, 5,359 patients with PC and 16,085 patients with BC. In PRC cohort, patients on DPP4i had significant survival advantage with HR 0.77 (95% CI: 0.64-0.93), P = 0.005 when compared to the reference group. Patients taking metformin also had significant OS benefit with HR 0.87 (95% CI: 0.81-0.93), P < 0.0001 when compared to the reference group. However, in BC cohort, OS did not favor the patients taking DPP4i with HR 1.07 (95% CI: 0.93-1.25, P = 0.33). Similarly, in PC cohort, OS was indifferent for the patients on DPP4i with HR 1.07 (95% CI: 0.93-1.24, P = 0.68). Upon subgroup analyses of PRC patients, the survival favored the group taking DPP4i, irrespective of stage, use of chemotherapy, androgen-deprivation therapy, and prostatectomy or radiation therapy. Conclusions: DPP4i seems to improve survival in PRC patients; however, not in PC or BC patients. While the exact mechanism involved remains to be elucidated, a prospective clinical trial would help to confirm these findings.",2020,32296640,PubMed
Metformin suppresses proliferation and invasion of drug-resistant breast cancer cells by activation of the Hippo pathway.,"Drug resistance limits the clinical efficacy of breast cancer therapies, and overexpression or activation of Yes-associated protein (YAP) is common in drug-resistant cancer cells. Thus, inhibition of YAP may reduce resistance to anti-cancer drugs. Metformin (MET), a first-line diabetes medication that also has anti-tumour activities, induces AMP-activated protein kinase (AMPK), directly phosphorylates YAP and inhibits YAP transcriptional activity. In this study, we determined the effect of MET on the proliferation and invasion of drug-resistant breast cancer cells and then investigated the underlying molecular mechanism. Our in vivo and in vitro experiments indicated that MET suppressed breast cancer by an AMPK-independent pathway to decrease YAP nuclear localization. In drug-sensitive cells, MET activated the Hippo pathway by increasing KIBRA and FRMD6 expression, but this did not occur in drug-resistant cells. Scribble (SCRIB), a cell polarity protein, was notably down-regulated in tamoxifen- and paclitaxel-resistant breast cancer cells relative to sensitive cells. We also found that MET suppressed the proliferation and invasion of drug-resistant breast cancer cells by increasing the expression and cell membrane localization of SCRIB, which enhanced the interaction of SCRIB with MST1 and LATS1, and inhibited YAP nuclear localization and transcriptional activity.",2020 May,32281270,PubMed
Promising role of Metformin in reducing the viability of breast cancerous cells.,"To evaluate the anticancerous effects of different dilutions of metformin were evaluated for in vitro anti-cancerous effects, primarily breast cancer cells (MCF-7, MDA-MB-231). This prospective experimental study was conducted in Department of Pharmacology & Therapeutics BMSI in alliance with PCMD. The duration of study was from March 2016 to February 2017. For evaluating the anticancerous effects of different dilutions of Metformin (0.5muM -100muM) we used 4 different cancerous cells lines; MCF-7, HT-29, MDA-MB-231 and Hela. For assessment of anticancerous effects we used MTT assay by which assessed IC50, SI, % viability of all cells and Trypan blue exclusion assay for only MCF-7 cell line. The % viability of MCF-7 was significantly decreases (chi(2) (2) = 26.48, p=<0.001) in dose dependent manner from 99.8+/-0.2 to 39.71+/-1.3. For MDA-MB-231% viability significantly reduced (chi2 (2) =26.48, p=<0.001) from 99.474+/- 0.298 to 51.55+/-4. However Metformin had statistically no significant dose dependent effects on % viability of MCF-10 (chi(2) (2) = 11.709, p=0.069). Metformin significantly exhibited the anticancerous effects on breast cancerous cells by selectively target the cancerous cells without any effects on normal epithelial cells of breast.",2020 Mar,32276896,PubMed
Impact of preexisting type 2 diabetes mellitus and antidiabetic drugs on all-cause and cause-specific mortality among Medicaid-insured women diagnosed with breast cancer.,"BACKGROUND: We investigated the influence preexisting type 2 diabetes mellitus (T2DM) and antidiabetic drugs have on all-cause and cause-specific mortality among Medicaid-insured women diagnosed with breast cancer. METHODS: 9221 women aged <64 years diagnosed with breast cancer and reported to the New York State (NYS) Cancer Registry from 2004 to 2016 were linked with Medicaid claims. Preexisting T2DM was determined by three diagnosis claims for T2DM with at least one claim prior to breast cancer diagnosis and a prescription claim for an antidiabetic drug within three months following breast cancer diagnosis. Estimated menopausal status was determined by age (premenopausal age <50; postmenopausal age >/=50). Hazard ratios (HR) and 95 % confidence intervals (95 %CI) were calculated with Cox proportional hazards regression, adjusting for confounders. RESULTS: Women with preexisting T2DM had greater all-cause (HR = 1.40; 95 %CI 1.21, 1.63), cancer-specific (HR = 1.24; 95 %CI 1.04, 1.47), and cardiovascular-specific (HR = 2.46; 95 %CI 1.54, 3.90) mortality hazard compared to nondiabetic women. In subgroup analyses, the association between T2DM and all-cause mortality was found among non-Hispanic White (HR 1.78 95 %CI 1.38, 2.30) and postmenopausal (HR = 1.47; 95 %CI 1.23, 1.77) women, but not among other race/ethnicity groups or premenopausal women. Additionally, compared to women prescribed metformin, all-cause mortality hazard was elevated among women prescribed sulfonylurea (HR = 1.44; 95 %CI 1.06, 1.94) or insulin (HR = 1.54; 95 %CI 1.12, 2.11). CONCLUSION: Among Medicaid-insured women with breast cancer, those with preexisting T2DM have an increased mortality hazard, especially when prescribed sulfonylurea or insulin. Further research is warranted to determine the role antidiabetic drugs have on survival among women with breast cancer.",2020 Jun,32247208,PubMed
Metformin is distributed to tumor tissue in breast cancer patients in vivo: A (11)C-metformin PET/CT study.,"PURPOSE: Epidemiological studies and randomized clinical trials suggest that the antidiabetic drug, metformin, may have anti-neoplastic effects. The mechanism that mediates these beneficial effects has been suggested to involve direct action on cancer cells, but this will require distribution of metformin in tumor tissue. The present study was designed to investigate metformin distribution in vivo in breast and liver tissue in breast cancer patients. METHODS: Seven patients recently diagnosed with ductal carcinoma were recruited. Using PET/CT, tissue distribution of metformin was determined in vivo for 90 min after injection of a carbon-11-labeled metformin tracer. After surgery, tumor tissue was investigated for gene expression levels of metformin transporter proteins. RESULTS: Tumor tissue displayed a distinct uptake of metformin compared to normal breast tissue AUC(0-90 min) (75.4 +/- 5.5 vs 42.3 +/- 6.3) g/ml*min (p = 0.01). Maximal concentration in tumor was at 1 min where it reached approximately 30% of the activity in the liver. The metformin transporter protein with the highest gene expression in tumor tissue was multidrug and toxin extrusion 1 (MATE 1) followed by plasma membrane monoamine transporter (PMAT). CONCLUSION: This study confirms that metformin is transported into tumor tissue in women with breast cancer. This finding support that metformin may have direct anti-neoplastic effects on tumor cells in breast cancer patients. However, distribution of metformin in tumor tissue is markedly lower than in liver, an established metformin target tissue.",2020 May,32240455,PubMed
Effective Cellular Transport of Ortho-Halogenated Sulfonamide Derivatives of Metformin Is Related to Improved Antiproliferative Activity and Apoptosis Induction in MCF-7 Cells.,"Metformin is a substrate for plasma membrane monoamine transporters (PMAT) and organic cation transporters (OCTs); therefore, the expression of these transporters and interactions between them may affect the uptake of metformin into tumor cells and its anticancer efficacy. The aim of this study was to evaluate how chemical modification of metformin scaffold into benzene sulfonamides with halogen substituents (compounds 1-9) may affect affinity towards OCTs, cellular uptake in two breast cancer cell lines (MCF-7 and MDA-MB-231) and antiproliferative efficacy of metformin. The uptake of most sulfonamides was more efficient in MCF-7 cells than in MDA-MB-231 cells. The presence of a chlorine atom in the aromatic ring contributed to the highest uptake in MCF-7 cells. For instance, the uptake of compound 1 with o-chloro substituent in MCF-7 cells was 1.79 +/- 0.79 nmol/min/mg protein, while in MDA-MB-231 cells, the uptake was considerably lower (0.005 +/- 0.0005 nmol/min/mg protein). The elevated uptake of tested compounds in MCF-7 was accompanied by high antiproliferative activity, with compound 1 being the most active (IC(50) = 12.6 +/- 1.2 micromol/L). Further studies showed that inhibition of MCF-7 growth is associated with the induction of early and late apoptosis and cell cycle arrest at the G0/G1 phase. In summary, the chemical modification of the biguanide backbone into halogenated sulfonamides leads to improved transporter-mediated cellular uptake in MCF-7 and contributes to the greater antiproliferative potency of studied compounds through apoptosis induction and cell cycle arrest.",2020 Mar 30,32235654,PubMed
Insulin-like growth factor-1 receptor (IGF-1R) expression on circulating tumor cells (CTCs) and metastatic breast cancer outcome: results from the TransMYME trial.,"PURPOSE: To evaluate the prognostic value of IGF-1R expression on circulating tumor cells (CTCs) in a prospective randomized clinical trial comparing chemotherapy plus metformin with chemotherapy alone in metastatic breast cancer (MBC) patients. METHODS: CTCs were collected at baseline and at the end of chemotherapy. An automated sample preparation and analysis system (CellSearch) were customized for detecting IGF-1R expression. The prognostic role of CTC count and IGF-1R was assessed for PFS and OS by univariate and multivariate analyses. RESULTS: Seventy-two out of 126 randomized patients were evaluated: 57% had >/= 1 IGF-1R positive CTC and 37.5% >/= 4 IGF-1R negative cells; 42% had CTC count >/= 5/7.5 ml. At univariate analysis, the number of IGF-1R negative CTCs was strongly associated with risk of progression and death: HR 1.93 (P = 0.013) and 3.65 (P = 0.001), respectively; no association was detected between number of IGF-1R positive CTCs and PFS or OS (P = 0.322 and P = 0.840). The prognostic role of CTC count was confirmed: HR 1.69, P = 0.042 for PFS and HR 2.80 for OS, P = 0.002. By multivariate analysis, the prognostic role of the number of IGF-1R negative CTCs was maintained, while no residual prognostic role of CTC count or number of IGF-1R positive cells was found. CONCLUSION: Loss of IGF-1R in CTCs is associated with a significantly worse outcome in MBC patients. This finding supports further evaluation for the role of IGF-1R on CTCs to improve patient stratification and to implement new targeted strategies. CLINICAL TRIAL REGISTRATION: Clinicaltrials.gov (NCT01885013); European Clinical Trials Database (EudraCT No.2009-014,662-26).",2020 May,32200486,PubMed
An evolving paradigm of cancer stem cell hierarchies: therapeutic implications.,"Over a decade of research has confirmed the critical role of cancer stem-like cells (CSCs) in tumor initiation, chemoresistance, and metastasis. Increasingly, CSC hierarchies have begun to be defined with some recurring themes. This includes evidence that these hierarchies are 'flexible,' with both cell state transitions and dedifferentiation events possible. These findings pose therapeutic hurdles and opportunities. Here, we review cancer stem cell hierarchies and their interactions with the tumor microenvironment. We also discuss the current therapeutic approaches designed to target CSC hierarchies and initial clinical trial results for CSC targeting agents. While cancer stem cell targeted therapies are still in their infancy, we are beginning to see encouraging results that suggest a positive outlook for CSC-targeting approaches.",2020,32194856,PubMed
Circulating tumor cells and drug history in primary breast cancer patients.,"Aim: Different types of chronic medication may affect breast cancer prognosis. Circulating tumor cells (CTCs) play an important role in cancer metastasis formation. There is no evidence of how chronic medication affects CTCs and breast cancer prognosis. The aim of this study was to evaluate association between chronic medication and CTCs in patients with primary breast cancer. Methods: This study involved 414 patients with stage I-III primary breast cancer. Chronic drug history was collected from patients' medical records and included all drugs that were prescribed for patients over at least the last 6 months prior to CTCs evaluation. CTCs were detected using a quantitative real-time polymerase chain reaction (qRT-PCR)-based method at the time of breast surgery. Results: There was no association between CTCs, including their different subpopulations and chronic medication. Chronic medication using angiotensin-converting-enzyme inhibitors (ACEi), metformin, and insulin were associated with inferior disease-free survival (HR = 0.49, 95%CI 0.26-0.94, P = 0.007 for ACEi; HR = 0.27, 95%CI 0.08-0.91, P < 0.001 for metformin; and HR = 0.12, 95%CI 0.01-2.91, P < 0.001 for insulin) and this was most pronounced in patients with epithelial to mesenchymal transition (CTC_EMT) phenotype. In multivariate analysis, chronic administration of metformin and/or insulin was an independent predictor of inferior outcome. Conclusion: Our findings show that there was no association between chronically used medication and CTCs in primary breast cancer patients. However, administration of ACEi, metformin, and/or insulin could negatively affect prognosis of patients with CTC_EMT.",2020,35582045,PubMed
Diabetes and Metformin Association with Recurrence Score in a Large Oncotype Database of Breast Cancer Patients.,"BACKGROUND: The Oncotype DX(R) (ODX) is a genomic assay that provides clinicians with a prediction of benefit of chemotherapy in node-negative, tamoxifen-treated breast cancer. However, the relationship between ODX recurrence score (RS) and diabetes, a common comorbidity in breast cancer patients, has been inadequately described in the literature. Specifically, the association of diabetes treatment with metformin and RS is inconclusive, with different studies reporting conflicting results. Because diabetes has been associated with higher RS, it has been suggested that management of diabetes with metformin in breast cancer patients may be associated with a lower RS. OBJECTIVES: We studied a large cohort of early-stage, hormone-positive breast cancer patients to determine if there is an association between RS and metformin treatment. METHODS: In this study, we retrospectively examined the medical records of 514 early-stage, hormone-positive breast cancer patients who had oncotype testing performed between 2007 and 2017. Number (%) or median were used to describe the patients' characteristics between groups and were compared by the Kruskal-Wallis test at a significance level of 5%. RESULTS: Of this cohort, 67 (13%) had a diabetes diagnosis at the time of breast cancer diagnosis, including both diabetes mellitus and pre-diabetes. The median RS for non-diabetic patients was 16 and the median RS for diabetic patients was 15. This difference was not significant, nor was there a statistical difference in RS between diabetic patients taking metformin (median RS = 15) and diabetic patients not taking metformin (median RS = 15). These results held true even when controlling for BMI. CONCLUSIONS: We conclude that neither diabetes diagnosis nor metformin use is associated with a difference in oncotype RS in this population of diabetic patients.",2020,32182614,PubMed
"Metabolic Health, Insulin, and Breast Cancer: Why Oncologists Should Care About Insulin.","Studies investigating the potential link between adult pre-menopausal obesity [as measured by body mass index (BMI)] and triple-negative breast cancer have been inconsistent. Recent studies show that BMI is not an exact measure of metabolic health; individuals can be obese (BMI > 30 kg/m(2)) and metabolically healthy or lean (BMI < 25 kg/m(2)) and metabolically unhealthy. Consequently, there is a need to better understand the molecular signaling pathways that might be activated in individuals that are metabolically unhealthy and how these signaling pathways may drive biologically aggressive breast cancer. One key driver of both type-2 diabetes and cancer is insulin. Insulin is a potent hormone that activates many pathways that drive aggressive breast cancer biology. Here, we review (1) the controversial relationship between obesity and breast cancer, (2) the impact of insulin on organs, subcellular components, and cancer processes, (3) the potential link between insulin-signaling and cancer, and (4) consider time points during breast cancer prevention and treatment where insulin-signaling could be better controlled, with the ultimate goal of improving overall health, optimizing breast cancer prevention, and improving breast cancer survival.",2020,32153503,PubMed
Targeted lapatinib anti-HER2/ErbB2 therapy resistance in breast cancer: opportunities to overcome a difficult problem.,"Approximately 20% of invasive breast cancers have upregulation/gene amplification of the oncogene human epidermal growth factor receptor-2 (HER2/ErbB2). Of these, some also express steroid receptors (the so-called Luminal B subtype), whereas others do not (the HER2 subtype). HER2 abnormal breast cancers are associated with a worse prognosis, chemotherapy resistance, and sensitivity to selected anti-HER2 targeted therapeutics. Transcriptional data from over 3000 invasive breast cancers suggest that this approach is overly simplistic; rather, the upregulation of HER2 expression resulting from gene amplification is a driver event that causes major transcriptional changes involving numerous genes and pathways in breast cancer cells. Most notably, this includes a shift from estrogenic dependence to regulatory controls driven by other nuclear receptors, particularly the androgen receptor. We discuss members of the HER receptor tyrosine kinase family, heterodimer formation, and downstream signaling, with a focus on HER2 associated pathology in breast carcinogenesis. The development and application of anti-HER2 drugs, including selected clinical trials, are discussed. In light of the many excellent reviews in the clinical literature, our emphasis is on recently developed and successful strategies to overcome targeted therapy resistance. These include combining anti-HER2 agents with programmed cell death-1 ligand or cyclin-dependent kinase 4/6 inhibitors, targeting crosstalk between HER2 and other nuclear receptors, lipid/cholesterol synthesis to inhibit receptor tyrosine kinase activation, and metformin, a broadly inhibitory drug. We seek to facilitate a better understanding of new approaches to overcome anti-HER2 drug resistance and encourage exploration of two other therapeutic interventions that may be clinically useful for HER+ invasive breast cancer patients.",2020,35582612,PubMed
The Effect of Metformin on the Clinicopathological Features of Breast Cancer With Type 2 Diabetes.,"BACKGROUND: The present study aimed to review the use of hypoglycemic drugs and clinicopathological data in breast cancer patients with type 2 diabetes mellitus (T2DM), and to investigate the effect of metformin on the clinicopathological features of breast cancer in patient with T2DM. METHODS: Eighty-nine patients with breast cancer hospitalized in the Second Affiliated Hospital of Xi'an Jiaotong University from January 2012 to December 2014 were included. Thirty-three patients were on metformin (metformin group) and 56 patients were on control group. Streptavidin-peroxidase (SP) method was used to quantify protein expression of molecular markers (estrogen receptor (ER), progesterone receptor (PR) and human epidermal growth factor receptor-2 (HER-2)), molecular markers of proliferation (Ki-67 and epidermal growth factor receptor (EGFR)) and epithelial-mesenchymal transition (EMT) molecular markers (matrix metalloproteinase-2 (MMP-2), E-cadherin and downstream N-cadherin). Fluorescence in situ hybridization was used to detect HER-2 (+ and ++). RESULTS: The rate of lymph node metastasis and the level of Ki-67/MMP-2 in the metformin group were significantly lower than those in the control group (P < 0.05). The ratio of luminal pattern in metformin group was higher than that in the control group (P < 0.05). However, there were no differences in the parameters of age, duration of diabetes, body mass index, tumor size, histological grade of cancer and clinical pathological features between the two groups. No significant difference was observed in the expressions of ER, PR, HER-2, EGFR, E-cadherin, N-cadherin and the recurrence rate between two groups. CONCLUSIONS: Metformin is associated with luminal breast cancer and can inhibit breast cancer invasion and metastasis in some cases. It may be associated with EMT and is beneficial to the prognosis of breast cancer.",2020 Feb,32095186,PubMed
"Randomized Phase II Trial of Exercise, Metformin, or Both on Metabolic Biomarkers in Colorectal and Breast Cancer Survivors.","BACKGROUND: Observational data support inverse relationships between exercise or metformin use and disease outcomes in colorectal and breast cancer survivors, although the mechanisms underlying these associations are not well understood. METHODS: In a phase II trial, stage I-III colorectal and breast cancer survivors who completed standard therapy were randomly assigned to structured exercise or metformin or both or neither for 12 weeks. The primary outcome was change in fasting insulin levels; secondary outcomes included changes in other blood-based energetic biomarkers and anthropometric measurements. Analyses used linear mixed models. RESULTS: In total, 139 patients were randomly assigned; 91 (65%) completed follow-up assessments. Fasting insulin levels statistically significantly decreased in all three intervention arms (-2.47 muU/mL combination arm, -0.08 muU/mL exercise only, -1.16 muU/mL metformin only, + 2.79 muU/mL control arm). Compared with the control arm, all groups experienced statistically significant weight loss between baseline and 12 weeks (-1.8% combination arm, -0.22% exercise only, -1.0% metformin only, +1.55% control). The combination arm also experienced statistically significant improvements in the homeostatic model assessment for insulin resistance (-30.6% combination arm, +61.2% control) and leptin (-42.2% combination arm, -0.8% control), compared with the control arm. The interventions did not change insulin-like growth factor-1 or insulin-like growth factor binding protein-3 measurements as compared with the control arm. Tolerance to metformin limited compliance (approximately 50% of the participants took at least 75% of the planned dosages in both treatment arms). CONCLUSIONS: The combination of exercise and metformin statistically significantly improved insulin and associated metabolic markers, as compared to the control arm, with potential greater effect than either exercise or metformin alone though power limited formal synergy testing. Larger efforts are warranted to determine if such a combined modality intervention can improve outcomes in colorectal and breast cancer survivors.",2020 Feb,32090192,PubMed
